"Ukazatel","IndicatorType","Reprezentant","REPRCENZEM1","Území","Uz0","Měsíce","CasM","Hodnota"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","prosinec 2022","2022-12","9579"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","leden 2023","2023-01","9346"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","únor 2023","2023-02","9914"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","březen 2023","2023-03","10024"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","duben 2023","2023-04","10120"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","květen 2023","2023-05","9500"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","červen 2023","2023-06","9160"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","červenec 2023","2023-07","9000"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","srpen 2023","2023-08","8521"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","září 2023","2023-09","8450"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","říjen 2023","2023-10","8450"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","listopad 2023","2023-11","8450"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","prosinec 2023","2023-12","8000"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","leden 2024","2024-01","8000"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","únor 2024","2024-02","7786"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","březen 2024","2024-03","7300"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","duben 2024","2024-04","7440"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","květen 2024","2024-05","7520"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","červen 2024","2024-06","6758"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","červenec 2024","2024-07","6900"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","srpen 2024","2024-08","6900"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","září 2024","2024-09","6900"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","říjen 2024","2024-10","6912"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","listopad 2024","2024-11","7067"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","prosinec 2024","2024-12","7103"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","leden 2025","2025-01","6900"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","únor 2025","2025-02","7196"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","březen 2025","2025-03","7400"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","duben 2025","2025-04","8700"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","květen 2025","2025-05","6733"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","červen 2025","2025-06","7750"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","červenec 2025","2025-07","6000"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","srpen 2025","2025-08","5900"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","září 2025","2025-09","7434"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","říjen 2025","2025-10","7400"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","listopad 2025","2025-11","7500"
"Maximální cena zemědělských výrobků (Kč)","6277MAX","Ječmen sladovnický [t]","1021","Česko","CZ","prosinec 2025","2025-12","7500"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2010","2010-01","2935"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2010","2010-02","2855"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2010","2010-03","3073"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2010","2010-04","3265"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2010","2010-05","3452"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2010","2010-06","3426"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2010","2010-09","5880"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2010","2010-10","5714"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2010","2010-11","5909"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2010","2010-12","5862"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2011","2011-01","5995"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2011","2011-02","6404"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2011","2011-03","6663"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2011","2011-04","6906"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2011","2011-05","6749"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2011","2011-06","6344"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2011","2011-09","3179"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2011","2011-10","3042"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2011","2011-11","2805"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2011","2011-12","2523"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2012","2012-01","2547"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2012","2012-02","2414"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2012","2012-03","2439"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2012","2012-04","2427"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2012","2012-05","2475"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2012","2012-06","2159"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2012","2012-09","3217"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2012","2012-10","3189"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2012","2012-11","3527"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2012","2012-12","3857"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2013","2013-01","3978"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2013","2013-02","4348"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2013","2013-03","4599"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2013","2013-04","4375"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2013","2013-05","4832"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2013","2013-06","4465"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2013","2013-09","6903"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2013","2013-10","6889"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2013","2013-11","7314"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2013","2013-12","6825"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2014","2014-01","7168"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2014","2014-02","6843"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2014","2014-03","6994"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2014","2014-04","6553"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2014","2014-05","6605"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2014","2014-06","6691"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2014","2014-09","3459"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2014","2014-10","3478"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2014","2014-11","2895"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2014","2014-12","2934"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2015","2015-01","3040"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2015","2015-02","3003"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2015","2015-03","3010"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2015","2015-04","2843"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2015","2015-05","2867"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2015","2015-06","3046"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2015","2015-09","5426"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2015","2015-10","5729"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2015","2015-11","5938"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2015","2015-12","6108"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2016","2016-01","5980"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2016","2016-02","6286"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2016","2016-03","6334"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2016","2016-04","6541"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2016","2016-05","6559"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2016","2016-06","5760"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2016","2016-09","4655"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2016","2016-10","4118"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2016","2016-11","4105"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2016","2016-12","4124"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2017","2017-01","3987"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2017","2017-02","4290"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2017","2017-03","4420"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2017","2017-04","4365"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2017","2017-05","4343"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2017","2017-06","4848"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červenec 2017","2017-07","5578"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","srpen 2017","2017-08","4884"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2017","2017-09","4716"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2017","2017-10","4299"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2017","2017-11","4181"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2017","2017-12","3999"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2018","2018-01","4202"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2018","2018-02","3850"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2018","2018-03","3912"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2018","2018-04","3784"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2018","2018-05","4201"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2018","2018-06","4074"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červenec 2018","2018-07","4657"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2018","2018-09","4862"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2018","2018-10","5221"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2018","2018-11","6126"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2018","2018-12","6788"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2019","2019-01","7014"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2019","2019-02","7309"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2019","2019-03","7996"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2019","2019-04","7876"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2019","2019-05","7526"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2019","2019-06","7454"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červenec 2019","2019-07","5799"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","srpen 2019","2019-08","6367"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2019","2019-09","6826"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2019","2019-10","6412"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2019","2019-11","6669"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2019","2019-12","7094"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2020","2020-01","7252"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2020","2020-02","6885"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2020","2020-03","6983"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2020","2020-04","7038"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2020","2020-05","6646"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2020","2020-06","6894"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2020","2020-09","4671"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2020","2020-10","3920"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2020","2020-11","4264"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2020","2020-12","4420"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2021","2021-01","3846"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2021","2021-02","4131"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2021","2021-03","4075"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2021","2021-04","3335"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2021","2021-05","3249"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2021","2021-06","3027"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","srpen 2021","2021-08","3667"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2021","2021-09","4666"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2021","2021-10","4169"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2021","2021-11","4292"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2021","2021-12","4025"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2022","2022-01","4614"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2022","2022-02","4930"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2022","2022-03","5229"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2022","2022-04","4722"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2022","2022-05","4909"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2022","2022-06","4921"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červenec 2022","2022-07","5087"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2022","2022-09","6274"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2022","2022-10","5971"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2022","2022-11","6650"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2022","2022-12","6641"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2023","2023-01","6898"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2023","2023-02","7232"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2023","2023-03","7153"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2023","2023-04","7185"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2023","2023-05","7054"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2023","2023-06","8128"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červenec 2023","2023-07","7350"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2023","2023-09","9977"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2023","2023-10","8818"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2023","2023-11","8730"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2023","2023-12","8536"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2024","2024-01","9195"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2024","2024-02","9449"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2024","2024-03","9435"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2024","2024-04","9766"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2024","2024-05","9736"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2024","2024-06","9920"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červenec 2024","2024-07","9405"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","září 2024","2024-09","8152"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","říjen 2024","2024-10","7695"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","listopad 2024","2024-11","7765"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","prosinec 2024","2024-12","7172"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","leden 2025","2025-01","7674"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","únor 2025","2025-02","6803"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","březen 2025","2025-03","6917"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","duben 2025","2025-04","7245"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","květen 2025","2025-05","7742"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červen 2025","2025-06","7923"
"Průměrná cena zemědělských výrobků (Kč)","6277","Brambory pozdní konzumní [t]","1620","Česko","CZ","červenec 2025","2025-07","8223"
